Region,macaw,parakeet,pigeons
Acre,31,46,23
Alagoas,21,40,39
Amapá,53,11,36
Amazonas,29,24,47
Bahia,34,30,36
Ceará,23,44,33
Distrito Federal,33,28,39
Espírito Santo,31,32,37
Goiás,30,37,33
Maranhão,29,39,32
Mato Grosso,42,17,41
Mato Grosso do Sul,36,38,26
Minas Gerais,24,30,46
Pará,31,29,40
Paraíba,31,24,45
Paraná,26,26,48
Pernambuco,20,33,47
Piauí,30,33,37
Rio de Janeiro,24,24,52
Rio Grande do Norte,25,31,44
Rio Grande do Sul,27,25,48
Rondônia,25,49,26
Roraima,20,53,27
Santa Catarina,26,28,46
São Paulo,30,23,47
Sergipe,25,42,33
Tocantins,29,29,42
